,Lon. S2-DWM (Sw),Lon. S2-DWM (Sw + Wl),Lon. JRC-GSW-S (Sw),km
37.1,0.0,0.0,0.0,37.1
37.2,0.0,0.0,0.0,37.2
37.3,0.0,0.0,0.0,37.3
37.4,0.0,0.0,0.0,37.4
37.5,0.0,0.0,0.0,37.5
37.6,0.0,0.0,0.0,37.6
37.7,0.0,0.0,0.0,37.7
37.8,0.0,0.0,0.0,37.8
37.9,0.0,0.0,0.0,37.9
38.0,0.0,0.0,0.0,38.0
38.1,0.0,0.0,0.0,38.1
38.2,0.0,0.0,0.0,38.2
38.3,0.0,0.0,0.0,38.3
38.4,0.0,0.0,0.0,38.4
38.5,0.0,0.0,0.0,38.5
38.6,0.0,0.0,0.0,38.6
38.7,0.0,0.0,0.0,38.7
38.8,0.0,0.0,0.0,38.8
38.9,0.0,0.0,0.0,38.9
39.0,0.0,0.0,0.0,39.0
39.1,0.0,0.0,0.0,39.1
39.2,0.0,0.0,0.0,39.2
39.3,0.0,0.0,0.0,39.3
39.4,0.0,0.0,0.0,39.4
39.5,0.0,0.0,0.0,39.5
39.6,0.0,0.0,0.0,39.6
39.7,0.0,0.0,0.0,39.7
39.8,0.0,0.0,0.0,39.8
39.9,0.0,0.0,0.0,39.9
40.0,0.0,0.0,0.0,40.0
40.1,0.0,0.0,0.0,40.1
40.2,0.0,0.0,0.0,40.2
40.3,0.0,0.0,0.0,40.3
40.4,0.0,0.0,0.0,40.4
40.5,0.0,0.0,0.0,40.5
40.6,0.0,0.0,0.0,40.6
40.7,0.0,0.0,0.0,40.7
40.8,0.0,0.0,0.0,40.8
40.9,0.0,0.0,0.0,40.9
41.0,0.0,0.0,0.0,41.0
41.1,0.0,0.0,0.0,41.1
41.2,0.0,0.0,0.0,41.2
