,2017
0,20170106
1,20170119
2,20170129
3,20170205
4,20170208
5,20170215
6,20170218
7,20170225
8,20170228
9,20170307
10,20170317
11,20170320
12,20170327
13,20170330
14,20170409
15,20170416
16,20170419
17,20170426
18,20170429
19,20170506
20,20170509
21,20170516
22,20170519
23,20170529
24,20170605
25,20170608
26,20170615
27,20170618
28,20170625
29,20170628
30,20170630
31,20170705
32,20170710
33,20170713
34,20170715
35,20170718
36,20170720
37,20170723
38,20170725
39,20170728
40,20170730
41,20170802
42,20170804
43,20170807
44,20170809
45,20170812
46,20170814
47,20170819
48,20170822
49,20170824
50,20170827
51,20170829
52,20170903
53,20170906
54,20170908
55,20170911
56,20170916
57,20170921
58,20171001
59,20171003
60,20171008
61,20171011
62,20171018
63,20171023
64,20171028
65,20171031
66,20171102
67,20171105
68,20171110
69,20171112
70,20171117
71,20171120
72,20171130
73,20171207
74,20171212
75,20171217
76,20171220
77,20171225
78,20171227
